fold,ari,entropy,n_train,n_test
1,0.17334363446064216,2.852823466093286,197946,40560
2,0.19468858408712159,2.986286092966144,196539,41967
3,0.1724835796544906,2.771532472178708,191629,46877
4,0.2565515823016385,2.9370348230132146,181220,57286
5,0.13567322450006805,3.085472746096748,186690,51816
