feature,importance
ICP_Na2O 589 nm ,0.0
ICP_Na2O 589.6 nm ,0.0
ICP_Nb (ppm),0.0
ICP_Nb (ppm) 309.4 nm ,0.0
ICP_Ni (ppm) 221.6 nm ,0.0
ICP_Ni (ppm) 231.604 nm ,0.0
ICP_Ni (ppm) 232 nm ,0.0
ICP_Ni 231.6 nm ,0.0
ICP_Ni 361.9 nm ,0.0
ICP_P (ppm) 214.9 nm ,0.0
ICP_P2O5 (wt%),0.0
ICP_SiO2 251.6 nm ,0.0
ICP_V 310.2 nm ,0.0
ICP_Sr (ppm) 407.771 nm ,0.0
ICP_Sr (ppm) 407.8 nm ,0.0
PWC_Test comments,0.0
ICP_MgO (wt%) 285.2 nm ,0.0
ICP_Zn (ppm) 213.9 nm ,0.0
ICP_Zn 206.2 nm ,0.0
ICP_Zn 213.9 nm ,0.0
ICP_Zr (ppm) 327.307 nm ,0.0
ICP_Zr (ppm) 339.2 nm ,0.0
ICP_Zr (ppm) 343.8 nm ,0.0
ICP_Zr 273.5 nm ,0.0
ICP_Zr 339.2 nm ,0.0
ICP_Zr 343.8 nm ,0.0
ICP_Comments,0.0
PWC_P-wave velocity x (m/s),0.0
PWC_P-wave velocity y (m/s),0.0
PWC_P-wave velocity z (m/s),0.0
PWC_P-wave velocity unknown (m/s),0.0
PWC_P-wave velocity x [manual] (m/s),0.0
PWC_P-wave velocity y [manual] (m/s),0.0
PWC_P-wave velocity z [manual] (m/s),0.0
PWC_Instrument group,0.0
PWC_Instrument,0.0
PWC_Sonic traveltime [manual] (microsecond),0.0
PWC_P-wave velocity unknown [manual] (m/s),0.0
PWC_Sample comments,0.0
ICP_Zn (ppm) 213.857 nm ,0.0
ICP_Zn (ppm) 206.2 nm ,0.0
ICP_V (ppm),0.0
ICP_Sr (ppm) 421.6 nm ,0.0
ICP_Sr (ppm) 460.7 nm ,0.0
ICP_Sr 407.8 nm ,0.0
ICP_Sr 421.6 nm ,0.0
ICP_TiO2 (wt%) 334.9 nm ,0.0
ICP_TiO2 (wt%) 334.941 nm ,0.0
ICP_TiO2 (wt%) 336.1 nm ,0.0
ICP_TiO2 (wt%) 337.3 nm ,0.0
ICP_TiO2 336.1 nm ,0.0
ICP_TiO2 337.3 nm ,0.0
ICP_V (ppm) 292.401 nm ,0.0
ICP_Zn (ppm) 202.5 nm ,0.0
ICP_V (ppm) 309.3 nm ,0.0
ICP_V (ppm) 310.2 nm ,0.0
ICP_Y (ppm),0.0
ICP_Y (ppm) 360.1 nm ,0.0
ICP_Y (ppm) 371 nm ,0.0
ICP_Y (ppm) 371.029 nm ,0.0
ICP_Y (ppm) 377.4 nm ,0.0
ICP_Y 360.1 nm ,0.0
ICP_Y 371 nm ,0.0
ICP_Zn (ppm),0.0
ICP_MgO 280.3 nm ,0.0
ICP_Ce (ppm),0.0
ICP_MgO (wt%) 280.3 nm ,0.0
SRM_Magnetic moment y (Am^2)_std,0.0
SRM_Magnetic moment z (Am^2)_std,0.0
SRM_Inclination raw (deg)_std,0.0
CARB_Top offset on section (cm),0.0
CARB_Bottom offset on section (cm),0.0
CARB_Top depth CSF-B (m),0.0
CARB_Total carbon (wt%),0.0
CARB_Hydrogen (wt%),0.0
CARB_Nitrogen (wt%),0.0
CARB_Organic carbon (wt%) by difference (CHNS-COUL),0.0
"CARB_Organic carbon (wt%), CHNS with treated sample (wt%)",0.0
CARB_Sample treatment method (CHNS organic carbon),0.0
CARB_Sample comments,0.0
ICP_Top offset on section (cm),0.0
ICP_Bottom offset on section (cm),0.0
ICP_Top depth CSF-A (m),0.0
ICP_Al (ppm) 308.2 nm ,0.0
ICP_Al2O3 (wt%) 308.2 nm ,0.0
ICP_Al2O3 (wt%) 309.3 nm ,0.0
ICP_Al2O3 (wt%) 394.4 nm ,0.0
ICP_Al2O3 (wt%) 396.152 nm ,0.0
ICP_Al2O3 (wt%) 396.2 nm ,0.0
ICP_Al2O3 308.2 nm ,0.0
ICP_Al2O3 396.2 nm ,0.0
SRM_Magnetic moment z (Am^2)_mean,0.0
SRM_Magnetic moment y (Am^2)_mean,0.0
ICP_Ba (ppm) 455.4 nm ,0.0
SRM_Magnetic moment x (Am^2)_std,0.0
MAD_Depth CSF-A (m)_mean,0.0
MAD_Depth CSF-A (m)_std,0.0
MAD_Container number_mean,0.0
MAD_Container number_std,0.0
MAD_Mass salt (g)_mean,0.0
MAD_Mass salt (g)_std,0.0
RGB_Offset (cm)_mean,0.0
RGB_Offset (cm)_std,0.0
RGB_Depth CSF-A (m)_std,0.0
RGB_B_mean,0.0
RGB_Test comments_mean,0.0
RGB_Test comments_std,0.0
RGB_Latitude (DD)_mean,0.0
RGB_Latitude (DD)_std,0.0
RGB_Longitude (DD)_mean,0.0
RGB_Longitude (DD)_std,0.0
SRM_Offset (cm)_mean,0.0
SRM_Offset (cm)_std,0.0
SRM_Depth CSF-A (m)_std,0.0
SRM_Depth CSF-B (m)_std,0.0
SRM_Demag level (mT)_mean,0.0
SRM_Demag level (mT)_std,0.0
SRM_Magnetic moment x (Am^2)_mean,0.0
ICP_Ba (ppm) 233.5 nm ,0.0
ICP_Ba (ppm) 455.403 nm ,0.0
ICP_MgO (wt%) 279.6 nm ,0.0
ICP_Cu (ppm) 327.4 nm ,0.0
ICP_Cu 324.8 nm ,0.0
ICP_Fe (ppm) 238.2 nm ,0.0
ICP_Fe2O3 (wt%),0.0
ICP_Fe2O3 (wt%) 239.563 nm ,0.0
ICP_Fe2O3t (wt%) 238.2 nm ,0.0
ICP_Fe2O3t (wt%) 239.6 nm ,0.0
ICP_Fe2O3t (wt%) 259.9 nm ,0.0
ICP_Fe2O3t 238.2 nm ,0.0
ICP_Fe2O3t 239.6 nm ,0.0
ICP_Fe2O3t 259.9 nm ,0.0
ICP_Ga (ppm),0.0
ICP_Ge (ppm),0.0
ICP_Ge (ppm) 219.9 nm ,0.0
ICP_Ge (ppm) 303.9 nm ,0.0
ICP_K2O (wt%) 766.491 nm ,0.0
ICP_K2O (wt%) 766.5 nm ,0.0
ICP_K2O (wt%) 769.9 nm ,0.0
ICP_K2O 766.5 nm ,0.0
ICP_K2O 769.9 nm ,0.0
ICP_La (ppm),0.0
ICP_LOI (wt%),0.0
ICP_Mg (ppm) 285.2 nm ,0.0
ICP_MgO (wt%) 202.582 nm ,0.0
ICP_Cu 224.7 nm ,0.0
ICP_Cu (ppm) 327.395 nm ,0.0
ICP_Ba (ppm) 493.4 nm ,0.0
ICP_Cu (ppm) 324.8 nm ,0.0
ICP_Ba 455.4 nm ,0.0
ICP_Ba 493.4 nm ,0.0
ICP_CaO (wt%) 315.9 nm ,0.0
ICP_CaO (wt%) 317.9 nm ,0.0
ICP_CaO (wt%) 317.933 nm ,0.0
ICP_CaO (wt%) 393.4 nm ,0.0
ICP_CaO (wt%) 396.8 nm ,0.0
ICP_CaO (wt%) 422.7 nm ,0.0
ICP_CaO 315.9 nm ,0.0
ICP_CaO 317.9 nm ,0.0
ICP_Co (ppm),0.0
ICP_Co (ppm) 228.6 nm ,0.0
ICP_Co (ppm) 228.615 nm ,0.0
ICP_Co 228.6 nm ,0.0
ICP_Cr (ppm) 205.6 nm ,0.0
ICP_Cr (ppm) 206.1 nm ,0.0
ICP_Cr (ppm) 267.7 nm ,0.0
ICP_Cr (ppm) 267.716 nm ,0.0
ICP_Cr (ppm) 283.6 nm ,0.0
ICP_Cr 205.6 nm ,0.0
ICP_Cr 267.7 nm ,0.0
ICP_Cu (ppm),0.0
ICP_Cu (ppm) 224.7 nm ,0.0
PWC_Result comments,0.0
