fold,train_samples,test_samples,train_entropy,test_entropy,train_entropy_diff,test_entropy_diff,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
1,161659,45716,3.099177629343941,2.954836651172931,0.019369347480287846,0.16371032565129795,48.139472246170044,6,4,10,0.24278508251503125,0.21739478409290314
2,155507,49461,3.1131916983657693,2.9267981221453647,0.0053552784584596225,0.19174885467886416,44.246248960494995,6,4,12,0.22001442711113908,0.22983823716640472
3,163286,49143,3.1200033488610446,2.974420041581749,0.0014563720368157007,0.14412693524247988,47.115593910217285,6,4,12,0.17582338193206914,0.21182160079479218
4,166652,42815,3.0840907852097743,3.116121924494146,0.03445619161445457,0.002425052330083055,47.912572383880615,6,4,15,0.1498251875417159,0.15364915132522583
5,157033,51371,3.112598686448789,2.8833980296399666,0.005948290375439758,0.23514894718426227,44.694722175598145,6,4,10,0.18944716177854032,0.19169603288173676
