fold,train_samples,test_samples,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
1,145380,62815,51.3786461353302,6,4,12,0.21989838387455127,0.1792318969964981
2,164892,37087,58.36022067070007,6,4,10,0.1928287348611519,0.21005219221115112
3,167545,47695,58.12961530685425,6,4,10,0.1526206352824766,0.16522975265979767
4,168110,43965,58.07288837432861,6,4,15,0.18627119933317085,0.2103407233953476
5,166347,46944,57.61307764053345,6,4,10,0.2300952631869594,0.18826599419116974
