schedule,beta_start,beta_end,anneal_epochs,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
v2.6.6 baseline,0.001,0.5,50,63.188823223114014,6,4,15,0.2469689013094367,0.24519385397434235
Lower start,0.0001,0.5,50,59.18699765205383,6,4,10,0.25822924292697247,0.3092081546783447
Higher end,0.001,1.0,50,56.661699295043945,6,4,12,0.24903604628075718,0.30360913276672363
Slower anneal,0.0001,1.0,75,56.91929841041565,6,4,12,0.23810773882961797,0.2630496621131897
Very slow,0.0001,0.5,100,56.93631935119629,6,4,12,0.2224422103074277,0.28389641642570496
