Principal_Lithology,Lithology_Group,Count,Percentage
felsic vein,Intermediate/Felsic Igneous,3,0.0012578299916983
carbonate,Carbonate,3,0.0012578299916983
diatom silt,Silt,3,0.0012578299916983
muddy sand,Clay/Mud,3,0.0012578299916983
gypsum rock,Evaporite,2,0.0008385533277988
coal,Other,2,0.0008385533277988
breccia/conglomerate/gravel,Conglomerate/Breccia,2,0.0008385533277988
sandy silt to silty sand,Silt,2,0.0008385533277988
foraminifera sandstone,Carbonate,2,0.0008385533277988
gravelly sand,Sand,1,0.0004192766638994
metaclaystone,Clay/Mud,1,0.0004192766638994
anhydrite rock,Evaporite,1,0.0004192766638994
muddy siltstone,Clay/Mud,1,0.0004192766638994
serpentinite,Ultramafic,1,0.0004192766638994
