k,ARI,Silhouette,v2_6_7_baseline,improvement
10,0.11160607648338845,0.28424742817878723,0.196,-43.05812424316916
12,0.10586129294692623,0.289601594209671,0.196,-45.989136251568254
15,0.07925478825207825,0.2719797194004059,0.196,-59.56388354485803
20,0.07331611777980158,0.25025254487991333,0.196,-62.59381745928491
