beta,train_time,ari_k10,ari_k12,ari_k15,ari_k20,note,avg_ari
0.005,181.25206804275513,0.197884594917272,0.20872205959188087,0.2112068442058271,0.20490450920788167,,0.20567950198071544
0.01,,0.175,0.194,0.195,0.212,v2.5,0.194
0.05,180.42340183258057,0.2373839494006401,0.2344891862116471,0.24545154761765847,0.2528747904276815,,0.2425498684144068
1.0,,0.192,0.167,0.179,0.166,v2.1,0.17600000000000002
