model,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
"Gaussian N(0,I)",87.29907035827637,6,4,18,0.27895771256989627,0.21631655097007751
Mixture of 10 Gaussians,117.65836238861084,6,4,10,0.2546719034367044,0.2880305051803589
Student's t (df=3),109.71398329734802,6,4,18,0.2528842157841541,0.16660724580287933
