fold,train_samples,test_samples,train_entropy,test_entropy,train_entropy_diff,test_entropy_diff,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
1,161659,45716,3.099177629343941,2.954836651172931,0.019369347480287846,0.16371032565129795,57.23947548866272,6,4,10,0.23658061154222795,0.20397479832172394
2,155507,49461,3.1131916983657693,2.9267981221453647,0.0053552784584596225,0.19174885467886416,52.97570085525513,6,4,12,0.23453540846128582,0.19982309639453888
3,163286,49143,3.1200033488610446,2.974420041581749,0.0014563720368157007,0.14412693524247988,51.81587362289429,6,4,12,0.1792439602214529,0.2247648984193802
4,166652,42815,3.0840907852097743,3.116121924494146,0.03445619161445457,0.002425052330083055,55.126954555511475,6,4,15,0.1320458490459592,0.13775897026062012
5,157033,51371,3.112598686448789,2.8833980296399666,0.005948290375439758,0.23514894718426227,55.48289680480957,6,4,10,0.1680680574608456,0.1956968605518341
