feature,importance
SRM_Demag level (mT)_std,0.0009612837490459149
MAD_Container number_mean,0.0008984589720273259
ICP_K (ppm) 769.9 nm ,0.0007803371591155787
ICP_Co (ppm) 228.6 nm ,0.0007665848231138355
RGB_Offset (cm)_mean,0.0007206208410375454
ICP_P2O5 (wt%),0.000594636256617579
ICP_Na2O (wt%),0.0005815122590525217
ICP_Cr (ppm) 267.7 nm ,0.0005599410576736543
SRM_Depth CSF-A (m)_mean,0.0005022092463919486
CARB_Total carbon (wt%),0.00047761712281269665
ICP_Sr (ppm) 421.6 nm ,0.00047591001821690364
ICP_TiO2 (wt%),0.0004247763261922539
ICP_Al2O3 (wt%) 396.152 nm ,0.00019227631795653964
ICP_Sc (ppm),8.212922092650551e-05
SRM_Depth CSF-A (m)_std,6.588458563832129e-05
ICP_MnO (wt%) 259.372 nm ,5.9569325139519886e-05
ICP_SiO2 (wt%) 221.667 nm ,1.6582048231416116e-05
ICP_Fe2O3 (wt%) 239.563 nm ,3.918430269399147e-06
ICP_Sc (ppm) 357.3 nm ,0.0
ICP_SiO2 (wt%) 288.2 nm ,0.0
ICP_SiO2 251.6 nm ,0.0
ICP_Ni 231.6 nm ,0.0
ICP_Ni (ppm) 232 nm ,0.0
ICP_Sr (ppm) 407.771 nm ,0.0
ICP_Sr (ppm) 407.8 nm ,0.0
ICP_Ni (ppm) 231.604 nm ,0.0
ICP_Sr (ppm) 460.7 nm ,0.0
ICP_Sr 407.8 nm ,0.0
ICP_Ni (ppm) 221.6 nm ,0.0
ICP_SiO2 250.7 nm ,0.0
ICP_P2O5 (wt%) 177.434 nm ,0.0
ICP_Ni 361.9 nm ,0.0
ICP_SiO2 (wt%) 251.6 nm ,0.0
ICP_SiO2 (wt%) 250.7 nm ,0.0
ICP_P2O5 (wt%) 214.9 nm ,0.0
ICP_Sc 361.4 nm ,0.0
ICP_Sc 357.3 nm ,0.0
ICP_Sc (ppm) 361.4 nm ,0.0
ICP_P2O5 213.6 nm ,0.0
ICP_Sc (ppm) 361.383 nm ,0.0
ICP_Rb (ppm),0.0
ICP_S (ppm),0.0
ICP_P2O5 (wt%) 213.6 nm ,0.0
PWC_Instrument,0.0
ICP_Sr 421.6 nm ,0.0
ICP_TiO2 (wt%) 334.9 nm ,0.0
ICP_Zn 213.9 nm ,0.0
ICP_Zr (ppm) 327.307 nm ,0.0
ICP_Zr (ppm) 339.2 nm ,0.0
ICP_Zr (ppm) 343.8 nm ,0.0
ICP_Zr 273.5 nm ,0.0
ICP_Zr 339.2 nm ,0.0
ICP_Zr 343.8 nm ,0.0
ICP_Nb (ppm) 309.4 nm ,0.0
PWC_P-wave velocity y (m/s),0.0
PWC_P-wave velocity z (m/s),0.0
PWC_P-wave velocity unknown (m/s),0.0
PWC_P-wave velocity x [manual] (m/s),0.0
PWC_P-wave velocity y [manual] (m/s),0.0
PWC_P-wave velocity z [manual] (m/s),0.0
PWC_P-wave velocity unknown [manual] (m/s),0.0
PWC_Sonic traveltime [manual] (microsecond),0.0
PWC_Sample comments,0.0
PWC_Test comments,0.0
PWC_Instrument group,0.0
ICP_Zn 206.2 nm ,0.0
ICP_Zn (ppm) 213.9 nm ,0.0
ICP_Zn (ppm) 213.857 nm ,0.0
ICP_V (ppm) 310.2 nm ,0.0
ICP_TiO2 (wt%) 334.941 nm ,0.0
ICP_TiO2 (wt%) 336.1 nm ,0.0
ICP_TiO2 (wt%) 337.3 nm ,0.0
ICP_TiO2 336.1 nm ,0.0
ICP_TiO2 337.3 nm ,0.0
ICP_V (ppm),0.0
ICP_V (ppm) 292.401 nm ,0.0
ICP_V (ppm) 309.3 nm ,0.0
ICP_V 310.2 nm ,0.0
ICP_Zn (ppm) 206.2 nm ,0.0
ICP_Y (ppm) 360.1 nm ,0.0
ICP_Y (ppm) 371 nm ,0.0
ICP_Y (ppm) 371.029 nm ,0.0
ICP_Y (ppm) 377.4 nm ,0.0
ICP_Y 360.1 nm ,0.0
ICP_Y 371 nm ,0.0
ICP_Zn (ppm),0.0
