fold,train_samples,test_samples,train_entropy,test_entropy,train_entropy_diff,test_entropy_diff,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
1,160819,48256,3.0780125593154417,2.9858806259416704,0.03654066242719667,0.12867259580096801,46.83200550079346,6,4,18,0.21729269137241855,0.23042428493499756
2,159653,52688,3.095941089242616,2.986213987343716,0.018612132500022582,0.12833923439892247,44.30948305130005,6,4,12,0.15411703688734144,0.17105677723884583
3,166536,43143,3.1497704528667243,2.7343797126076623,0.035217231124085924,0.38017350913497605,51.75413393974304,6,4,10,0.24251172734436932,0.18385444581508636
4,163269,47863,3.0448703639692645,3.089577407385852,0.06968285777337391,0.02497581435678642,46.01725649833679,6,4,18,0.2731010894221361,0.21636159718036652
5,165317,46409,3.1294349395983225,2.847258253488513,0.014881717855684151,0.26729496825412546,46.68530869483948,6,4,10,0.1797850388005455,0.15519672632217407
