name,beta_start,beta_end,anneal_epochs,train_time,final_train_loss,epochs_trained,ari_k10,ari_k12,ari_k15,ari_k20,avg_ari
Fixed β=0.5,0.5,0.5,0,229.4891004562378,2.519809019513221,32,0.22693455475632213,0.2417158206513262,0.233631205953285,0.23763466871838346,0.2349790625198292
Anneal 0.01→0.5 (50 epochs),0.01,0.5,50,114.44832921028137,1.4590897094103812,17,0.23947361808082876,0.23304736233675824,0.23370896213366824,0.22827883873996543,0.23362719532280518
Anneal 0.001→0.5 (50 epochs),0.001,0.5,50,115.48188495635986,1.4529897414398751,17,0.23363327537637504,0.26184578796953917,0.23872548340292882,0.22964555382329055,0.24096252514303337
Anneal 0.01→0.5 (25 epochs),0.01,0.5,25,108.8032898902893,2.0075002845873073,16,0.20559372625927758,0.2507912567650431,0.2470102872984638,0.23330460858036844,0.23417496972578822
