borehole_id,n_samples,min_depth,max_depth,depth_range,total_min_depth,total_max_depth,total_depth_range
363-U1489-D,1015,0.0,77.2,77.2,0.0,77.2,77.2
363-U1489-C,1753,0.0,76.84000000000003,76.84000000000003,0.0,76.84000000000003,76.84000000000003
363-U1490-A,1767,0.0,75.96000000000001,75.96000000000001,0.0,75.96000000000001,75.96000000000001
368-U1502-A,873,75.0,150.08,75.08000000000001,75.0,150.08,75.08000000000001
363-U1482-B,1743,0.0,73.32000000000001,73.32000000000001,0.0,73.32000000000001,73.32000000000001
352-U1439-C,609,36.4,108.44000000000001,72.04000000000002,36.4,108.44000000000001,72.04000000000002
353-U1448-B,1737,0.0,71.60000000000001,71.60000000000001,0.0,71.60000000000001,71.60000000000001
379-U1533-B,1192,5.120000000000001,76.2,71.08,5.120000000000001,76.2,71.08
356-U1463-D,1500,0.0,70.52000000000001,70.52000000000001,0.0,70.52000000000001,70.52000000000001
346-U1427-C,1638,0.0,70.28000000000002,70.28000000000002,0.0,70.28000000000002,70.28000000000002
353-U1443-A,1334,0.0,67.48,67.48,0.0,67.48,67.48
369-U1516-C,1029,41.120000000000005,107.96000000000002,66.84000000000002,41.120000000000005,107.96000000000002,66.84000000000002
353-U1443-B,1284,0.0,64.92,64.92,0.0,64.92,64.92
353-U1444-A,1037,0.0,64.64000000000001,64.64000000000001,0.0,64.64000000000001,64.64000000000001
369-U1514-C,1226,39.120000000000005,103.12,64.0,39.120000000000005,103.12,64.0
359-U1466-A,1178,0.0,63.48000000000001,63.48000000000001,0.0,63.48000000000001,63.48000000000001
356-U1464-B,1439,0.0,63.36000000000001,63.36000000000001,0.0,63.36000000000001,63.36000000000001
363-U1488-A,1561,0.0,62.88000000000001,62.88000000000001,0.0,62.88000000000001,62.88000000000001
371-U1508-B,640,37.36000000000001,99.36000000000001,62.00000000000001,37.36000000000001,99.36000000000001,62.00000000000001
371-U1506-A,963,0.0,61.120000000000005,61.120000000000005,0.0,61.120000000000005,61.120000000000005
363-U1488-B,1493,0.0,60.96000000000001,60.96000000000001,0.0,60.96000000000001,60.96000000000001
353-U1445-C,1366,0.0,60.84,60.84,0.0,60.84,60.84
361-U1479-B,1436,0.0,60.160000000000004,60.160000000000004,0.0,60.160000000000004,60.160000000000004
363-U1485-A,1445,0.0,60.08000000000001,60.08000000000001,0.0,60.08000000000001,60.08000000000001
363-U1485-B,1321,0.0,59.6,59.6,0.0,59.6,59.6
375-U1518-F,598,39.56,98.44000000000003,58.880000000000024,39.56,98.44000000000003,58.880000000000024
361-U1479-C,1468,0.2,59.08000000000001,58.88000000000001,0.2,59.08000000000001,58.88000000000001
376-U1528-D,472,12.280000000000001,71.0,58.72,12.280000000000001,71.0,58.72
363-U1483-A,1441,0.0,58.44,58.44,0.0,58.44,58.44
363-U1483-B,1433,0.0,57.36000000000001,57.36000000000001,0.0,57.36000000000001,57.36000000000001
363-U1483-C,1397,0.0,56.96000000000001,56.96000000000001,0.0,56.96000000000001,56.96000000000001
356-U1461-A,1271,0.0,56.92000000000001,56.92000000000001,0.0,56.92000000000001,56.92000000000001
369-U1513-A,791,0.0,56.88000000000001,56.88000000000001,0.0,56.88000000000001,56.88000000000001
374-U1524-A,1339,0.0,56.56,56.56,0.0,56.56,56.56
361-U1475-E,1346,0.0,55.400000000000006,55.400000000000006,0.0,55.400000000000006,55.400000000000006
361-U1475-C,1353,0.0,55.04,55.04,0.0,55.04,55.04
346-U1430-B,1006,0.0,54.56,54.56,0.0,54.56,54.56
352-U1440-B,206,20.480000000000004,73.8,53.31999999999999,20.480000000000004,73.8,53.31999999999999
349-U1435-A,831,7.2,59.800000000000004,52.6,7.2,59.800000000000004,52.6
363-U1490-B,1067,0.0,52.6,52.6,0.0,52.6,52.6
362-U1481-A,870,247.44000000000003,299.71999999999997,52.279999999999944,247.44000000000003,299.71999999999997,52.279999999999944
351-U1438-B,1111,0.0,51.36000000000001,51.36000000000001,0.0,51.36000000000001,51.36000000000001
369-U1514-A,1224,0.0,50.760000000000005,50.760000000000005,0.0,50.760000000000005,50.760000000000005
361-U1474-A,1251,0.0,50.72,50.72,0.0,50.72,50.72
346-U1430-C,1027,0.0,50.0,50.0,0.0,50.0,50.0
346-U1423-B,988,0.0,49.84,49.84,0.0,49.84,49.84
346-U1430-A,1012,0.0,49.84,49.84,0.0,49.84,49.84
359-U1472-A,969,0.0,49.800000000000004,49.800000000000004,0.0,49.800000000000004,49.800000000000004
361-U1478-A,1229,0.0,49.68000000000001,49.68000000000001,0.0,49.68000000000001,49.68000000000001
361-U1478-C,1173,0.0,49.68000000000001,49.68000000000001,0.0,49.68000000000001,49.68000000000001
361-U1475-B,1217,0.0,48.800000000000004,48.800000000000004,0.0,48.800000000000004,48.800000000000004
361-U1474-F,1140,0.0,47.64,47.64,0.0,47.64,47.64
361-U1476-E,1173,0.0,47.0,47.0,0.0,47.0,47.0
361-U1476-D,1139,0.2,45.84,45.64,0.2,45.84,45.64
361-U1476-A,1116,0.0,44.88,44.88,0.0,44.88,44.88
369-U1516-A,1116,0.0,44.72,44.72,0.0,44.72,44.72
363-U1484-A,1038,0.0,44.64,44.64,0.0,44.64,44.64
363-U1484-B,966,0.0,44.480000000000004,44.480000000000004,0.0,44.480000000000004,44.480000000000004
366-U1498-B,372,3.8400000000000007,48.080000000000005,44.24,3.8400000000000007,48.080000000000005,44.24
361-U1478-D,853,0.0,43.2,43.2,0.0,43.2,43.2
354-U1452-B,667,0.0,43.120000000000005,43.120000000000005,0.0,43.120000000000005,43.120000000000005
354-U1449-A,619,0.0,42.68000000000001,42.68000000000001,0.0,42.68000000000001,42.68000000000001
379-U1532-C,853,35.68,78.32000000000001,42.64000000000001,35.68,78.32000000000001,42.64000000000001
363-U1482-D,404,0.0,42.64,42.64,0.0,42.64,42.64
346-U1428-A,742,0.0,42.28,42.28,0.0,42.28,42.28
363-U1486-B,1039,0.0,42.2,42.2,0.0,42.2,42.2
354-U1453-A,790,0.0,42.04,42.04,0.0,42.04,42.04
368-U1501-D,382,86.72000000000001,128.72,41.999999999999986,86.72000000000001,128.72,41.999999999999986
371-U1508-A,981,0.0,41.96000000000001,41.96000000000001,0.0,41.96000000000001,41.96000000000001
353-U1443-C,749,0.0,41.84,41.84,0.0,41.84,41.84
374-U1525-A,764,0.0,41.64,41.64,0.0,41.64,41.64
346-U1423-A,852,0.0,41.32,41.32,0.0,41.32,41.32
346-U1426-C,913,0.0,41.24,41.24,0.0,41.24,41.24
346-U1422-C,874,0.0,41.0,41.0,0.0,41.0,41.0
355-U1457-B,743,0.0,41.0,41.0,0.0,41.0,41.0
363-U1486-C,718,0.0,40.120000000000005,40.120000000000005,0.0,40.120000000000005,40.120000000000005
359-U1467-D,992,0.32000000000000006,40.2,39.88,0.32000000000000006,40.2,39.88
352-U1439-A,824,0.0,39.36000000000001,39.36000000000001,0.0,39.36000000000001,39.36000000000001
354-U1450-B,220,121.60000000000001,160.92000000000002,39.32000000000001,121.60000000000001,160.92000000000002,39.32000000000001
356-U1459-B,721,4.5200000000000005,43.72,39.199999999999996,4.5200000000000005,43.72,39.199999999999996
368-U1502-B,686,145.56000000000003,184.20000000000002,38.639999999999986,145.56000000000003,184.20000000000002,38.639999999999986
352-U1441-A,257,0.0,38.12,38.12,0.0,38.12,38.12
346-U1429-A,787,0.0,37.64,37.64,0.0,37.64,37.64
349-U1433-A,820,0.0,37.64,37.64,0.0,37.64,37.64
372-U1517-C,776,0.0,37.44,37.44,0.0,37.44,37.44
361-U1479-E,551,18.0,55.32000000000001,37.32000000000001,18.0,55.32000000000001,37.32000000000001
346-U1429-B,813,0.0,37.24,37.24,0.0,37.24,37.24
363-U1486-D,697,0.0,37.2,37.2,0.0,37.2,37.2
368-U1505-D,921,0.0,36.92,36.92,0.0,36.92,36.92
356-U1459-C,80,42.96000000000001,79.52000000000001,36.56,42.96000000000001,79.52000000000001,36.56
353-U1446-C,865,0.0,36.4,36.4,0.0,36.4,36.4
361-U1477-A,862,0.0,36.12,36.12,0.0,36.12,36.12
353-U1446-A,874,0.0,36.0,36.0,0.0,36.0,36.0
346-U1429-C,699,0.0,35.800000000000004,35.800000000000004,0.0,35.800000000000004,35.800000000000004
359-U1471-C,815,0.32000000000000006,35.800000000000004,35.480000000000004,0.32000000000000006,35.800000000000004,35.480000000000004
361-U1477-B,860,0.0,34.92000000000001,34.92000000000001,0.0,34.92000000000001,34.92000000000001
375-U1518-E,724,0.0,34.760000000000005,34.760000000000005,0.0,34.760000000000005,34.760000000000005
363-U1490-C,687,0.0,33.96,33.96,0.0,33.96,33.96
359-U1470-A,692,0.0,33.36000000000001,33.36000000000001,0.0,33.36000000000001,33.36000000000001
366-U1498-A,84,0.0,32.56,32.56,0.0,32.56,32.56
353-U1447-C,764,0.0,32.28,32.28,0.0,32.28,32.28
354-U1454-B,641,0.0,32.120000000000005,32.120000000000005,0.0,32.120000000000005,32.120000000000005
359-U1465-C,121,11.0,42.760000000000005,31.760000000000005,11.0,42.760000000000005,31.760000000000005
374-U1524-C,86,55.760000000000005,87.36000000000001,31.60000000000001,55.760000000000005,87.36000000000001,31.60000000000001
346-U1424-A,659,0.0,31.6,31.6,0.0,31.6,31.6
346-U1424-B,638,0.0,30.960000000000004,30.960000000000004,0.0,30.960000000000004,30.960000000000004
363-U1488-C,638,0.0,29.960000000000004,29.960000000000004,0.0,29.960000000000004,29.960000000000004
361-U1476-B,743,0.0,29.72,29.72,0.0,29.72,29.72
361-U1474-B,689,0.0,29.360000000000003,29.360000000000003,0.0,29.360000000000003,29.360000000000003
359-U1465-B,43,13.200000000000001,42.52,29.32,13.200000000000001,42.52,29.32
368-U1504-A,268,3.5200000000000005,32.720000000000006,29.200000000000006,3.5200000000000005,32.720000000000006,29.200000000000006
355-U1457-A,604,0.0,28.92,28.92,0.0,28.92,28.92
363-U1487-A,717,0.0,28.880000000000003,28.880000000000003,0.0,28.880000000000003,28.880000000000003
363-U1487-B,603,0.0,28.8,28.8,0.0,28.8,28.8
346-U1428-B,626,0.0,28.640000000000004,28.640000000000004,0.0,28.640000000000004,28.640000000000004
361-U1475-D,705,0.0,28.6,28.6,0.0,28.6,28.6
346-U1422-D,602,0.0,28.400000000000002,28.400000000000002,0.0,28.400000000000002,28.400000000000002
355-U1456-E,389,194.0,220.84000000000003,26.840000000000032,194.0,220.84000000000003,26.840000000000032
366-U1492-C,268,0.0,26.0,26.0,0.0,26.0,26.0
374-U1523-E,264,0.0,26.0,26.0,0.0,26.0,26.0
362-U1480-H,543,0.0,25.840000000000003,25.840000000000003,0.0,25.840000000000003,25.840000000000003
363-U1489-B,578,0.0,25.8,25.8,0.0,25.8,25.8
353-U1444-B,347,0.0,25.640000000000004,25.640000000000004,0.0,25.640000000000004,25.640000000000004
359-U1470-B,28,39.6,64.96000000000001,25.360000000000007,39.6,64.96000000000001,25.360000000000007
361-U1474-D,617,0.0,24.92,24.92,0.0,24.92,24.92
361-U1477-C,582,0.2,23.8,23.6,0.2,23.8,23.6
361-U1475-F,277,4.0,26.72,22.72,4.0,26.72,22.72
346-U1425-E,426,0.0,22.6,22.6,0.0,22.6,22.6
361-U1474-E,546,21.12,43.6,22.48,21.12,43.6,22.48
346-U1422-E,439,0.0,22.32,22.32,0.0,22.32,22.32
349-U1432-C,437,0.0,21.96,21.96,0.0,21.96,21.96
368-U1504-B,135,17.64,39.24,21.6,17.64,39.24,21.6
366-U1496-C,51,0.0,21.28,21.28,0.0,21.28,21.28
350-U1436-A,335,0.0,21.12,21.12,0.0,21.12,21.12
352-U1440-A,469,0.0,20.64,20.64,0.0,20.64,20.64
361-U1478-B,497,28.72,49.32,20.6,28.72,49.32,20.6
349-U1434-A,127,41.2,61.720000000000006,20.520000000000003,41.2,61.720000000000006,20.520000000000003
379-U1532-A,496,0.0,20.080000000000002,20.080000000000002,0.0,20.080000000000002,20.080000000000002
362-U1480-E,472,0.0,19.92,19.92,0.0,19.92,19.92
374-U1523-B,170,9.36,29.28,19.92,9.36,29.28,19.92
346-U1426-D,452,0.0,19.840000000000003,19.840000000000003,0.0,19.840000000000003,19.840000000000003
369-U1513-B,487,0.0,19.64,19.64,0.0,19.64,19.64
379-U1532-B,432,18.64,36.080000000000005,17.440000000000005,18.64,36.080000000000005,17.440000000000005
375-U1519-E,383,0.0,17.160000000000004,17.160000000000004,0.0,17.160000000000004,17.160000000000004
361-U1479-H,345,0.0,17.12,17.12,0.0,17.12,17.12
369-U1513-E,277,137.04000000000002,154.04000000000002,17.0,137.04000000000002,154.04000000000002,17.0
376-U1528-A,85,0.0,15.8,15.8,0.0,15.8,15.8
356-U1459-A,125,0.04000000000000001,14.080000000000002,14.040000000000003,0.04000000000000001,14.080000000000002,14.040000000000003
350-U1436-C,347,0.0,14.0,14.0,0.0,14.0,14.0
346-U1423-C,232,22.8,36.080000000000005,13.280000000000005,22.8,36.080000000000005,13.280000000000005
371-U1510-B,319,0.0,13.240000000000002,13.240000000000002,0.0,13.240000000000002,13.240000000000002
359-U1465-A,256,0.0,13.040000000000001,13.040000000000001,0.0,13.040000000000001,13.040000000000001
363-U1485-D,294,0.0,12.96,12.96,0.0,12.96,12.96
361-U1479-I,109,0.0,12.680000000000001,12.680000000000001,0.0,12.680000000000001,12.680000000000001
375-U1526-A,140,3.88,16.240000000000002,12.360000000000003,3.88,16.240000000000002,12.360000000000003
350-U1436-B,308,0.0,12.32,12.32,0.0,12.32,12.32
359-U1469-A,15,18.6,30.640000000000004,12.040000000000003,18.6,30.640000000000004,12.040000000000003
359-U1471-D,269,0.2,11.4,11.200000000000001,0.2,11.4,11.200000000000001
366-U1492-B,207,0.0,10.240000000000002,10.240000000000002,0.0,10.240000000000002,10.240000000000002
376-U1527-C,137,37.04,46.84,9.800000000000004,37.04,46.84,9.800000000000004
374-U1523-A,163,0.0,8.480000000000002,8.480000000000002,0.0,8.480000000000002,8.480000000000002
354-U1452-C,167,0.0,8.200000000000001,8.200000000000001,0.0,8.200000000000001,8.200000000000001
379-U1533-D,196,0.0,7.880000000000002,7.880000000000002,0.0,7.880000000000002,7.880000000000002
366-U1492-A,149,0.0,7.6800000000000015,7.6800000000000015,0.0,7.6800000000000015,7.6800000000000015
346-U1424-C,152,5.2,12.76,7.56,5.2,12.76,7.56
366-U1496-A,141,0.0,7.32,7.32,0.0,7.32,7.32
346-U1426-B,106,0.0,6.920000000000001,6.920000000000001,0.0,6.920000000000001,6.920000000000001
366-U1494-A,106,0.0,6.920000000000001,6.920000000000001,0.0,6.920000000000001,6.920000000000001
353-U1448-C,172,0.0,6.88,6.88,0.0,6.88,6.88
366-U1497-A,88,0.0,6.88,6.88,0.0,6.88,6.88
366-U1496-B,66,0.2,6.920000000000001,6.720000000000001,0.2,6.920000000000001,6.720000000000001
353-U1445-B,144,0.0,6.6000000000000005,6.6000000000000005,0.0,6.6000000000000005,6.6000000000000005
375-U1526-B,157,0.0,6.6000000000000005,6.6000000000000005,0.0,6.6000000000000005,6.6000000000000005
359-U1467-A,156,0.0,6.36,6.36,0.0,6.36,6.36
366-U1493-B,66,0.0,6.08,6.08,0.0,6.08,6.08
355-U1456-B,117,0.0,5.760000000000001,5.760000000000001,0.0,5.760000000000001,5.760000000000001
379-U1533-A,144,0.0,5.720000000000001,5.720000000000001,0.0,5.720000000000001,5.720000000000001
363-U1485-C,130,0.0,5.5600000000000005,5.5600000000000005,0.0,5.5600000000000005,5.5600000000000005
353-U1446-B,117,0.0,5.440000000000001,5.440000000000001,0.0,5.440000000000001,5.440000000000001
361-U1479-D,90,9.280000000000001,14.680000000000001,5.4,9.280000000000001,14.680000000000001,5.4
351-U1438-A,119,0.0,5.32,5.32,0.0,5.32,5.32
353-U1447-B,120,0.0,4.840000000000001,4.840000000000001,0.0,4.840000000000001,4.840000000000001
366-U1491-C,97,0.04000000000000001,4.840000000000001,4.800000000000001,0.04000000000000001,4.840000000000001,4.800000000000001
366-U1497-B,69,0.0,4.720000000000001,4.720000000000001,0.0,4.720000000000001,4.720000000000001
375-U1519-D,103,0.0,4.4799999999999995,4.4799999999999995,0.0,4.4799999999999995,4.4799999999999995
350-U1436-D,111,8.0,12.4,4.4,8.0,12.4,4.4
376-U1531-B,18,0.04000000000000001,4.32,4.28,0.04000000000000001,4.32,4.28
369-U1516-D,93,91.60000000000001,95.48,3.8799999999999955,91.60000000000001,95.48,3.8799999999999955
366-U1491-B,82,0.0,3.8400000000000007,3.8400000000000007,0.0,3.8400000000000007,3.8400000000000007
379-U1532-D,86,72.56,76.2,3.6400000000000006,72.56,76.2,3.6400000000000006
376-U1531-C,15,0.0,3.08,3.08,0.0,3.08,3.08
349-U1431-C,72,0.0,2.84,2.84,0.0,2.84,2.84
376-U1527-A,9,7.76,9.920000000000002,2.160000000000002,7.76,9.920000000000002,2.160000000000002
366-U1495-B,32,0.08000000000000002,2.12,2.04,0.08000000000000002,2.12,2.04
356-U1458-A,18,0.0,1.9600000000000002,1.9600000000000002,0.0,1.9600000000000002,1.9600000000000002
346-U1422-A,42,0.0,1.92,1.92,0.0,1.92,1.92
361-U1474-H,49,0.0,1.92,1.92,0.0,1.92,1.92
362-U1480-B,49,0.0,1.92,1.92,0.0,1.92,1.92
363-U1486-A,49,0.0,1.92,1.92,0.0,1.92,1.92
368-U1501-B,49,0.0,1.92,1.92,0.0,1.92,1.92
368-U1501-A,48,0.0,1.8800000000000001,1.8800000000000001,0.0,1.8800000000000001,1.8800000000000001
363-U1489-A,48,0.0,1.8800000000000001,1.8800000000000001,0.0,1.8800000000000001,1.8800000000000001
346-U1422-B,38,0.0,1.8800000000000001,1.8800000000000001,0.0,1.8800000000000001,1.8800000000000001
361-U1479-F,48,0.0,1.8800000000000001,1.8800000000000001,0.0,1.8800000000000001,1.8800000000000001
349-U1431-B,47,1.52,3.3600000000000003,1.8400000000000003,1.52,3.3600000000000003,1.8400000000000003
362-U1480-C,47,0.0,1.8399999999999999,1.8399999999999999,0.0,1.8399999999999999,1.8399999999999999
361-U1479-G,46,0.0,1.8,1.8,0.0,1.8,1.8
356-U1463-A,34,2.0,3.6,1.6,2.0,3.6,1.6
371-U1511-A,38,0.0,1.4800000000000002,1.4800000000000002,0.0,1.4800000000000002,1.4800000000000002
379-U1533-C,38,0.0,1.4800000000000002,1.4800000000000002,0.0,1.4800000000000002,1.4800000000000002
366-U1495-A,17,0.0,1.4000000000000001,1.4000000000000001,0.0,1.4000000000000001,1.4000000000000001
353-U1443-D,30,0.0,1.4000000000000001,1.4000000000000001,0.0,1.4000000000000001,1.4000000000000001
354-U1454-A,36,0.04000000000000001,1.4400000000000002,1.4000000000000001,0.04000000000000001,1.4400000000000002,1.4000000000000001
359-U1471-B,34,0.0,1.3200000000000003,1.3200000000000003,0.0,1.3200000000000003,1.3200000000000003
354-U1455-B,33,0.0,1.2800000000000002,1.2800000000000002,0.0,1.2800000000000002,1.2800000000000002
362-U1480-A,30,0.0,1.1600000000000001,1.1600000000000001,0.0,1.1600000000000001,1.1600000000000001
376-U1528-C,12,8.0,9.16,1.1600000000000001,8.0,9.16,1.1600000000000001
361-U1476-C,29,0.0,1.12,1.12,0.0,1.12,1.12
375-U1518-C,24,0.0,0.9200000000000002,0.9200000000000002,0.0,0.9200000000000002,0.9200000000000002
376-U1529-A,14,0.04000000000000001,0.56,0.52,0.04000000000000001,0.56,0.52
354-U1454-D,8,0.0,0.27999999999999997,0.27999999999999997,0.0,0.27999999999999997,0.27999999999999997
361-U1475-A,7,0.0,0.24000000000000005,0.24000000000000005,0.0,0.24000000000000005,0.24000000000000005
361-U1474-C,7,0.32000000000000006,0.56,0.24,0.32000000000000006,0.56,0.24
376-U1531-A,6,0.0,0.2,0.2,0.0,0.2,0.2
361-U1479-A,5,0.0,0.16000000000000003,0.16000000000000003,0.0,0.16000000000000003,0.16000000000000003
354-U1455-A,4,0.0,0.12000000000000002,0.12000000000000002,0.0,0.12000000000000002,0.12000000000000002
368-U1505-A,2,0.0,0.04000000000000001,0.04000000000000001,0.0,0.04000000000000001,0.04000000000000001
359-U1469-B,2,24.400000000000002,24.44,0.03999999999999915,24.400000000000002,24.44,0.03999999999999915
