tolerance_cm,n_samples,k,ARI,Silhouette
20,251182,10,0.08738138605412414,0.14568565785884857
20,251182,12,0.08594426443461434,0.14860306680202484
20,251182,15,0.0730828569389612,0.15432478487491608
20,251182,20,0.06085333480032824,0.1279834508895874
