Borehole_ID,total_min_depth,total_max_depth,total_depth_range
340_U1396_B,5.0,14.715,9.715
340_U1396_C,0.0,139.71,139.71
340_U1397_A,0.3,259.558,259.258
340_U1397_B,0.0,238.825,238.825
340_U1398_A,0.0,260.1,260.1
340_U1398_B,0.0,254.625,254.625
340_U1399_A,0.0,269.51,269.51
340_U1399_B,0.0,182.96,182.96
340_U1400_A,0.0,51.216,51.216
340_U1400_B,0.0,212.608,212.608
340_U1400_C,15.0,428.175,413.175
340_U1401_A,0.0,14.15,14.15
340_U1401_B,0.0,12.07,12.07
340_U1401_C,0.0,10.25,10.25
340_U1401_D,0.0,8.911,8.911
341_U1417_A,0.0,167.938,167.938
341_U1417_B,0.0,350.149,350.149
341_U1417_C,1.0,225.919,224.919
341_U1417_D,0.0,461.409,461.409
341_U1417_E,264.0,707.53,443.53
341_U1418_A,0.0,209.674,209.674
341_U1418_B,0.0,16.836,16.836
341_U1418_C,0.0,230.564,230.564
341_U1418_D,3.0,297.875,294.875
341_U1418_E,78.0,180.3,102.30000000000001
341_U1418_F,279.4,941.222,661.822
341_U1419_A,0.0,177.755,177.755
341_U1419_B,0.0,113.759,113.759
341_U1419_C,2.0,108.32,106.32
341_U1419_D,5.5,114.15,108.65
341_U1419_E,9.0,98.53,89.53
341_U1420_A,9.7,1014.156,1004.4559999999999
341_U1421_A,0.0,693.75,693.75
341_U1421_B,0.002,6.05,6.048
341_U1421_C,0.0,38.215,38.215
342_U1402_B,0.0,15.015,15.015
342_U1403_A,0.3,242.229,241.929
342_U1403_B,0.0,261.753,261.753
342_U1404_A,3.913,299.811,295.89799999999997
342_U1404_B,0.0,228.671,228.671
342_U1404_C,16.05,44.713,28.663
342_U1405_A,0.0,306.968,306.968
342_U1405_B,0.0,223.048,223.048
342_U1405_C,0.0,232.147,232.147
342_U1406_A,0.0,280.75,280.75
342_U1406_B,0.0,254.564,254.564
342_U1406_C,0.0,229.099,229.099
342_U1407_A,0.0,268.476,268.476
342_U1407_B,0.0,269.81,269.81
342_U1407_C,0.0,261.797,261.797
342_U1408_A,0.022,246.39,246.368
342_U1408_B,0.0,213.436,213.436
342_U1408_C,0.0,179.887,179.887
342_U1409_A,0.0,200.466,200.466
342_U1409_B,0.0,170.327,170.327
342_U1409_C,0.0,160.053,160.053
342_U1410_A,0.0,258.846,258.846
342_U1410_B,0.0,243.922,243.922
342_U1410_C,0.0,243.25,243.25
342_U1411_A,0.0,9.693,9.693
342_U1411_B,0.0,254.417,254.417
342_U1411_C,0.0,223.538,223.538
344_U1380_C,438.0,797.176,359.17600000000004
344_U1381_C,0.0,103.364,103.364
344_U1412_A,0.0,185.655,185.655
344_U1412_B,0.0,205.394,205.394
344_U1412_C,300.0,380.917,80.91699999999997
344_U1412_D,350.4,363.83,13.430000000000007
344_U1413_A,0.0,186.763,186.763
344_U1413_B,0.0,26.578,26.578
344_U1413_C,178.0,578.634,400.634
344_U1414_A,0.0,465.948,465.948
345_U1415_I,11.7,28.58,16.88
