feature,r2,rmse,rmse_pct,mean
Bulk density (GRA),0.9494102470307535,0.060127906999109006,3.5390323978057894,1.698992838731527
Magnetic susceptibility (instr. units),0.8373538368832913,135.05974350204104,128.2127305218126,105.34035345192461
NGR total counts (cps),0.8802407254543757,6.582461256891311,24.634318264217598,26.72069584508299
R,0.9236970090937624,11.052616507280707,15.990639221807468,69.11929131768254
G,0.9330403439397608,9.844102782193326,14.799884416706321,66.51472744666277
B,0.9223553536629109,9.137233827216145,15.866007259174742,57.590001554628124
