schedule,beta_start,beta_end,anneal_epochs,train_time,collapsed_dims,effective_dim,best_k,best_ari,best_sil
v2.6 baseline,0.001,0.5,50,61.166643381118774,4,4,12,0.2409247631420578,0.21701648831367493
1e-10 → 0.5 (50ep),1e-10,0.5,50,59.78063607215881,4,4,12,0.2708626372169145,0.2275301218032837
1e-10 → 0.5 (75ep),1e-10,0.5,75,60.59084916114807,4,4,18,0.25939864843505606,0.23479171097278595
1e-10 → 0.5 (100ep),1e-10,0.5,100,60.58452892303467,4,4,15,0.25484410720396283,0.18871261179447174
1e-10 → 0.75,1e-10,0.75,50,60.44296836853027,4,4,15,0.29221302957624534,0.22873380780220032
1e-10 → 1.0,1e-10,1.0,50,61.31408476829529,4,4,12,0.2288858969235645,0.21348388493061066
