mask_prob,r2_gra,r2_ms,r2_ngr,r2_r,r2_g,r2_b
0.0,0.7877763509750366,0.7876395583152771,0.8352755308151245,0.9248572587966919,0.9291458129882812,0.9156891703605652
0.02,-0.01621878147125244,0.10324704647064209,-0.3518552780151367,0.2471265196800232,0.23497509956359863,0.21027499437332153
0.03,-0.09130024909973145,0.027118921279907227,-0.26874279975891113,0.23289334774017334,0.2282518744468689,0.2100721001625061
0.04,-0.04676008224487305,0.04165273904800415,-0.24537932872772217,0.2011297345161438,0.1926743984222412,0.1801503300666809
0.06,-0.10743880271911621,0.020218849182128906,-0.2036195993423462,0.134504497051239,0.13836020231246948,0.1331939697265625
0.01,-0.06020176410675049,0.07492595911026001,-0.21121740341186523,0.20813894271850586,0.22722870111465454,0.22109156847000122
0.07,-0.036876797676086426,0.038661956787109375,-0.31510818004608154,0.12241244316101074,0.12262040376663208,0.12190431356430054
0.08,-0.07183897495269775,0.05268746614456177,-0.23066198825836182,0.19144093990325928,0.1961076259613037,0.18405145406723022
0.05,-0.06860780715942383,0.036136746406555176,-0.26707983016967773,0.20885753631591797,0.20810329914093018,0.1864386796951294
0.1,-0.0887519121170044,-0.030796527862548828,-0.17408382892608643,0.23858386278152466,0.24064487218856812,0.2220250964164734
0.11,-0.06896686553955078,0.08577615022659302,-0.33157098293304443,0.21119874715805054,0.20485472679138184,0.19600749015808105
0.12,-0.04057765007019043,0.06471520662307739,-0.20683813095092773,0.34006941318511963,0.3351496458053589,0.2990689277648926
0.09,-0.0571368932723999,0.029842078685760498,-0.26194167137145996,0.18442422151565552,0.18484824895858765,0.16899996995925903
0.14,-0.03416299819946289,0.10732972621917725,-0.08902227878570557,0.37885886430740356,0.3757128119468689,0.3555075526237488
0.15,-0.0432056188583374,0.09134107828140259,-0.11152708530426025,0.3273409605026245,0.32330751419067383,0.2949379086494446
0.16,-0.054088473320007324,0.13368165493011475,-0.2294912338256836,0.4211021661758423,0.41796040534973145,0.3899075984954834
0.13,-0.06415402889251709,0.044425368309020996,-0.19936442375183105,0.3553411364555359,0.35042649507522583,0.32118260860443115
0.18,-0.04592859745025635,0.1541813611984253,0.0026248693466186523,0.5139416456222534,0.5118355751037598,0.4769657850265503
0.19,-0.03186309337615967,0.15352505445480347,-0.07176768779754639,0.48131680488586426,0.47888118028640747,0.44968801736831665
0.2,0.005206048488616943,0.15973275899887085,-0.17726171016693115,0.388153612613678,0.3806889057159424,0.3521321415901184
0.17,0.0012211799621582031,0.13571876287460327,-0.1317737102508545,0.33444440364837646,0.33195722103118896,0.309356153011322
0.22,-0.0007737874984741211,0.15255993604660034,-0.10091817378997803,0.46498847007751465,0.4600065350532532,0.43967312574386597
0.23,-0.01172018051147461,0.15495377779006958,-0.05323982238769531,0.43260884284973145,0.4280250072479248,0.40087825059890747
0.24,0.007786750793457031,0.17258256673812866,-0.0556262731552124,0.42086732387542725,0.4195861220359802,0.39592719078063965
