k,v2.5_ARI,v2.5_Silhouette,v2.1_ARI,v2.1_Silhouette
10,0.22887829858319375,0.3173951804637909,0.19206135563656684,0.4345565438270569
12,0.22163451503487744,0.3167407214641571,0.16695534856544694,0.4242686331272125
15,0.23872631578992207,0.3140171468257904,0.17889546504612325,0.4284805655479431
20,0.23459004079985524,0.3021444082260132,0.16580424107232003,0.3998204469680786
