Lithology Subtype,Principal,mean,rsd,median,count,count_outliers,outlier_count_ratio %,kurtosis,skew
biogenic,biosiliceous ooze,40.86242487666318,0.17014030146044684,42.3,6689,40,0.5979967110180894,0.8882020783207571,-0.8386416449450134
biogenic,calcareous ooze,58.261931237342075,0.3107681156460032,61.345,20738,0,0.0,-1.632408218077632,-0.06398386254993006
biogenic,carbonate ooze,45.736839520722846,0.20802187650399753,45.6,30546,542,1.77437307667125,7.645543677577983,-1.4926838806858647
biogenic,chalk,61.14954556551459,0.17501443766775873,61.21,28673,329,1.1474209186342552,0.40591996720242207,-0.6293653517929101
biogenic,chert,32.82901712583768,0.5155410413249267,30.4,1343,5,0.37230081906180196,0.22579382972431405,0.6957429402004357
biogenic,diatom ooze,42.13028539602294,0.2850503228091137,40.4,163387,2184,1.336703654513517,7.589987058356845,1.7822962166822687
biogenic,diatomite,49.7527091477717,0.09705358306516769,50.465,7674,171,2.2283033620015638,3.538310281137613,-1.00829303517584
biogenic,foraminifera chalk,52.64234641893917,0.1765407945334453,51.28,3337,3,0.08990110878034162,0.11758827803464866,0.3900177906580006
biogenic,foraminifera limestone,50.051937377690805,0.2680308131717112,51.4,511,5,0.9784735812133072,1.6350027985502802,-1.036643049639542
biogenic,foraminifera ooze,50.93041220539533,0.20129426313104049,50.3,31101,118,0.3794090222179351,0.4486502345553598,0.3518081612920197
biogenic,limestone,54.94772703684484,0.2882244517368549,55.31,5781,1,0.01729804532087874,0.5246452872029397,0.08115776995644804
biogenic,nannofossil chalk,62.18898837334814,0.2181605282482467,63.11,129702,240,0.18503955220428367,-0.29153592206163115,-0.32961979112715845
biogenic,nannofossil ooze,59.538165002054114,0.22679230113678336,58.63,742415,407,0.05482079526520738,,
biogenic,ooze,54.507703529411764,0.1747667888575435,54.8,10625,202,1.9011764705882352,2.3981218477946857,0.4091483966090412
biogenic,radiolarian ooze,47.82596572389865,0.20994018802254805,45.2,28533,437,1.5314526020676362,,
biogenic,radiolarite,35.199999999999996,0.5537951332277821,31.4,6,0,0.0,-1.448767718836565,0.32006002180478577
cataclasite,cataclasite,40.66814159292036,0.3446388316682171,38.6,113,0,0.0,-0.5870827747251757,-0.039682454962609505
cataclastite,cataclasite,32.30714285714286,0.2552528307439028,33.0,56,0,0.0,-0.738703861635222,-0.4155724280289164
clastic,clay,39.19491794389361,0.19116985429149871,39.4,549563,5695,1.036277915361842,1.4703960503783593,-0.12083452636814127
clastic,clayey mud,35.198600682593856,0.1454789403837533,34.870000000000005,586,7,1.1945392491467577,2.9423404118436514,0.6040303506339584
