iter	RMSE
139	0.2479374318
140	0.2478502663
141	0.2478060803
142	0.2477114251
143	0.2476454419
144	0.2475936676
145	0.2474467943
146	0.2473342067
147	0.2472833971
148	0.2472435261
149	0.2471861832
150	0.2471088037
151	0.2470515803
152	0.2469969357
153	0.2469723812
154	0.246915596
155	0.2468441406
156	0.2467553629
157	0.2466890537
158	0.2466467048
159	0.2466036886
160	0.246554536
161	0.2465210943
162	0.246481508
163	0.246438133
164	0.2463885626
165	0.2462927044
166	0.2461967901
167	0.2461496878
168	0.2461052484
169	0.2460317803
170	0.2459565395
171	0.2459117654
172	0.2458425784
173	0.2458409973
174	0.245781217
175	0.2456832864
176	0.2456286028
177	0.2455845744
178	0.2455115309
179	0.2454663213
180	0.2454439464
181	0.2453774734
182	0.2453420082
183	0.2453092444
184	0.2452657047
185	0.2452038181
186	0.2451777648
187	0.2451334092
188	0.2450966206
189	0.2450554323
190	0.2450507886
191	0.2450148009
192	0.2449768786
193	0.2449426349
194	0.2448704917
195	0.244806927
196	0.2447565667
197	0.2446959555
198	0.24464511
199	0.2446304579
200	0.244576138
201	0.2445268568
202	0.2445039436
203	0.2444226389
204	0.2444064928
205	0.2443364821
206	0.2442822698
207	0.2442728356
208	0.2442291229
209	0.2441948867
210	0.2441728574
211	0.2441339205
212	0.244093551
213	0.2440319744
214	0.2439933074
215	0.2439406228
216	0.2438716177
217	0.2438361475
218	0.2437558462
219	0.2437363088
220	0.2437066489
221	0.2436782116
222	0.2436498345
223	0.2436239526
224	0.2435956643
225	0.2435624359
226	0.243560478
227	0.2435091991
228	0.2434857451
229	0.2434305605
230	0.2434033759
231	0.2433949282
232	0.2433553086
233	0.2433163117
234	0.243276537
235	0.2432508132
236	0.2431915331
237	0.243150164
238	0.2431218666
239	0.2430954881
240	0.2430529375
241	0.2430005613
242	0.2429637364
243	0.2429231987
244	0.24288309
245	0.2428819925
246	0.2428679477
247	0.2428204887
248	0.2427818935
249	0.2427624774
250	0.2427445356
251	0.2427224627
252	0.2426848718
253	0.2426639703
254	0.2426110471
255	0.2425873669
256	0.2425529767
257	0.2424909061
258	0.2424340784
259	0.2423801872
260	0.2423472327
261	0.2423275416
262	0.2422854377
263	0.2422488318
264	0.242214583
265	0.242193287
266	0.2421602071
267	0.242156355
268	0.2421025789
269	0.2420750458
270	0.242028493
271	0.2419866516
272	0.2419497435
273	0.2419487438
274	0.2419118376
275	0.2418845992
276	0.2418749611
277	0.2418468447
278	0.2418196159
279	0.241761691
280	0.2417230694
281	0.2416821883
282	0.2416607472
283	0.2416598711
284	0.2416092965
285	0.2415824124
286	0.2415409392
287	0.2414843108
288	0.24145216
289	0.2413953112
290	0.2413301578
291	0.2413133609
292	0.2412936772
293	0.2412544195
294	0.2412443544
295	0.2412206237
296	0.2411896008
297	0.241168685
298	0.2411592415
299	0.2411036346
300	0.2410914226
301	0.2410822176
302	0.2410462808
303	0.2410110022
304	0.2409739767
305	0.2409334847
306	0.2409255482
307	0.2408749836
308	0.2408243064
309	0.2407970516
310	0.2407959743
311	0.2407533254
312	0.2407372827
313	0.2407153047
314	0.2406721259
315	0.2406535542
316	0.240621367
317	0.2405971618
318	0.2405656891
319	0.2405099398
320	0.2404973165
321	0.2404774273
322	0.240447511
323	0.240445602
324	0.2404176139
325	0.2403960239
326	0.2403695835
327	0.2403337778
328	0.2403130309
329	0.2402737681
330	0.2402261267
331	0.2402038982
332	0.2401776619
333	0.2401539466
334	0.2401475869
335	0.2401358826
336	0.2401276956
337	0.2400951773
338	0.2400912971
339	0.2400577226
340	0.2400074741
341	0.239978903
342	0.2399528416
343	0.2399235255
344	0.2398897288
345	0.2398872517
346	0.2398797738
347	0.2398642652
348	0.2398294292
349	0.2398155341
350	0.2397928391
351	0.2397626496
352	0.239718632
353	0.239680503
354	0.239670426
355	0.239616407
356	0.2395981215
357	0.2395788462
358	0.239534919
359	0.2395007327
360	0.2394720591
361	0.2394254635
362	0.2393949704
363	0.2393698472
364	0.239344983
365	0.2393352058
366	0.2393094955
367	0.2392621666
368	0.2392414671
369	0.2392138814
370	0.2391773868
371	0.2391458131
372	0.239128489
373	0.2391087963
374	0.2391031603
375	0.2390958003
376	0.2390747207
377	0.239051398
378	0.2390392781
379	0.2389975324
380	0.2389654722
381	0.2389443426
382	0.2389148022
383	0.2388782336
384	0.2388580916
385	0.2388414927
386	0.2388029296
387	0.2387812157
388	0.2387680371
389	0.2387457515
390	0.2386934218
391	0.2386562538
392	0.2386385646
393	0.2386038651
394	0.2386010278
395	0.2385566318
396	0.2385513641
397	0.2385249932
398	0.2385134216
399	0.2385015709
400	0.2384786106
401	0.2384729266
402	0.2384675553
403	0.2384384689
404	0.2383949446
405	0.2383706067
406	0.2383428515
407	0.2383235025
408	0.2383221301
