Feature,MSE,MAE,MAPE (%),Mean_Original,Std_Original
Porosity (vol%),774.0705,25.346395,32.31310248374939,74.494125,11.49666
Grain density (g/cm^3),0.007507037,0.06825234,2.6145102456212044,2.6650882,0.07258699
P_wave_velocity,235261.06,477.2849,30.770370364189148,1555.2646,42.268265
Thermal conductivity mean (W/(m*K)),0.5715737,0.73417217,77.75495648384094,1.0040293,0.15850124
